"","zone","forcasttime","forcastcount"
"1","Airport",2014-07-01 00:00:00,31
"2","Airport",2014-07-01 01:00:00,15
"3","Airport",2014-07-01 03:00:00,12
"4","Airport",2014-07-01 04:00:00,13
"5","Airport",2014-07-01 05:00:00,17
"6","Airport",2014-07-01 06:00:00,28
"7","Airport",2014-07-01 07:00:00,41
"8","Airport",2014-07-01 08:00:00,32
"9","Airport",2014-07-01 09:00:00,19
"10","Airport",2014-07-01 10:00:00,30
"11","Airport",2014-07-01 11:00:00,36
"12","Airport",2014-07-01 12:00:00,28
"13","Airport",2014-07-01 13:00:00,34
"14","Airport",2014-07-01 14:00:00,31
"15","Airport",2014-07-01 15:00:00,47
"16","Airport",2014-07-01 16:00:00,44
"17","Airport",2014-07-01 17:00:00,37
"18","Airport",2014-07-01 18:00:00,28
"19","Airport",2014-07-01 19:00:00,37
"20","Airport",2014-07-01 20:00:00,56
"21","Airport",2014-07-01 21:00:00,43
"22","Airport",2014-07-01 22:00:00,48
"23","Airport",2014-07-01 23:00:00,48
"24","Airport",2014-07-01 02:00:00,12
"25","Allerton-Pelham Gardens",2014-07-01 00:00:00,2
"26","Allerton-Pelham Gardens",2014-07-01 01:00:00,2
"27","Allerton-Pelham Gardens",2014-07-01 03:00:00,2
"28","Allerton-Pelham Gardens",2014-07-01 04:00:00,2
"29","Allerton-Pelham Gardens",2014-07-01 05:00:00,2
"30","Allerton-Pelham Gardens",2014-07-01 06:00:00,2
"31","Allerton-Pelham Gardens",2014-07-01 07:00:00,2
"32","Allerton-Pelham Gardens",2014-07-01 08:00:00,2
"33","Allerton-Pelham Gardens",2014-07-01 09:00:00,2
"34","Allerton-Pelham Gardens",2014-07-01 10:00:00,2
"35","Allerton-Pelham Gardens",2014-07-01 11:00:00,2
"36","Allerton-Pelham Gardens",2014-07-01 12:00:00,2
"37","Allerton-Pelham Gardens",2014-07-01 13:00:00,2
"38","Allerton-Pelham Gardens",2014-07-01 14:00:00,2
"39","Allerton-Pelham Gardens",2014-07-01 15:00:00,2
"40","Allerton-Pelham Gardens",2014-07-01 16:00:00,2
"41","Allerton-Pelham Gardens",2014-07-01 17:00:00,2
"42","Allerton-Pelham Gardens",2014-07-01 18:00:00,2
"43","Allerton-Pelham Gardens",2014-07-01 19:00:00,2
"44","Allerton-Pelham Gardens",2014-07-01 20:00:00,2
"45","Allerton-Pelham Gardens",2014-07-01 21:00:00,2
"46","Allerton-Pelham Gardens",2014-07-01 22:00:00,2
"47","Allerton-Pelham Gardens",2014-07-01 23:00:00,2
"48","Allerton-Pelham Gardens",2014-07-01 02:00:00,2
"49","Astoria",2014-07-01 00:00:00,3
"50","Astoria",2014-07-01 01:00:00,3
"51","Astoria",2014-07-01 03:00:00,3
"52","Astoria",2014-07-01 04:00:00,3
"53","Astoria",2014-07-01 05:00:00,3
"54","Astoria",2014-07-01 06:00:00,3
"55","Astoria",2014-07-01 07:00:00,3
"56","Astoria",2014-07-01 08:00:00,3
"57","Astoria",2014-07-01 09:00:00,3
"58","Astoria",2014-07-01 10:00:00,4
"59","Astoria",2014-07-01 11:00:00,3
"60","Astoria",2014-07-01 12:00:00,3
"61","Astoria",2014-07-01 13:00:00,4
"62","Astoria",2014-07-01 14:00:00,4
"63","Astoria",2014-07-01 15:00:00,4
"64","Astoria",2014-07-01 16:00:00,4
"65","Astoria",2014-07-01 17:00:00,4
"66","Astoria",2014-07-01 18:00:00,3
"67","Astoria",2014-07-01 19:00:00,3
"68","Astoria",2014-07-01 20:00:00,4
"69","Astoria",2014-07-01 21:00:00,5
"70","Astoria",2014-07-01 22:00:00,4
"71","Astoria",2014-07-01 23:00:00,4
"72","Astoria",2014-07-01 02:00:00,3
"73","Auburndale",2014-07-01 00:00:00,2
"74","Auburndale",2014-07-01 01:00:00,2
"75","Auburndale",2014-07-01 03:00:00,2
"76","Auburndale",2014-07-01 04:00:00,2
"77","Auburndale",2014-07-01 05:00:00,2
"78","Auburndale",2014-07-01 06:00:00,2
"79","Auburndale",2014-07-01 07:00:00,2
"80","Auburndale",2014-07-01 08:00:00,2
"81","Auburndale",2014-07-01 09:00:00,2
"82","Auburndale",2014-07-01 10:00:00,2
"83","Auburndale",2014-07-01 11:00:00,2
"84","Auburndale",2014-07-01 12:00:00,2
"85","Auburndale",2014-07-01 13:00:00,2
"86","Auburndale",2014-07-01 14:00:00,2
"87","Auburndale",2014-07-01 15:00:00,2
"88","Auburndale",2014-07-01 16:00:00,2
"89","Auburndale",2014-07-01 17:00:00,2
"90","Auburndale",2014-07-01 18:00:00,2
"91","Auburndale",2014-07-01 19:00:00,2
"92","Auburndale",2014-07-01 20:00:00,2
"93","Auburndale",2014-07-01 21:00:00,2
"94","Auburndale",2014-07-01 22:00:00,2
"95","Auburndale",2014-07-01 23:00:00,2
"96","Auburndale",2014-07-01 02:00:00,2
"97","Baisley Park",2014-07-01 00:00:00,2
"98","Baisley Park",2014-07-01 01:00:00,2
"99","Baisley Park",2014-07-01 03:00:00,2
"100","Baisley Park",2014-07-01 04:00:00,2
"101","Baisley Park",2014-07-01 05:00:00,2
"102","Baisley Park",2014-07-01 06:00:00,2
"103","Baisley Park",2014-07-01 07:00:00,2
"104","Baisley Park",2014-07-01 08:00:00,2
"105","Baisley Park",2014-07-01 09:00:00,2
"106","Baisley Park",2014-07-01 10:00:00,2
"107","Baisley Park",2014-07-01 11:00:00,2
"108","Baisley Park",2014-07-01 12:00:00,2
"109","Baisley Park",2014-07-01 13:00:00,2
"110","Baisley Park",2014-07-01 14:00:00,2
"111","Baisley Park",2014-07-01 15:00:00,2
"112","Baisley Park",2014-07-01 16:00:00,2
"113","Baisley Park",2014-07-01 17:00:00,2
"114","Baisley Park",2014-07-01 18:00:00,2
"115","Baisley Park",2014-07-01 19:00:00,2
"116","Baisley Park",2014-07-01 20:00:00,2
"117","Baisley Park",2014-07-01 21:00:00,2
"118","Baisley Park",2014-07-01 22:00:00,2
"119","Baisley Park",2014-07-01 23:00:00,2
"120","Baisley Park",2014-07-01 02:00:00,2
"121","Bath Beach",2014-07-01 00:00:00,2
"122","Bath Beach",2014-07-01 01:00:00,2
"123","Bath Beach",2014-07-01 03:00:00,2
"124","Bath Beach",2014-07-01 04:00:00,2
"125","Bath Beach",2014-07-01 05:00:00,2
"126","Bath Beach",2014-07-01 06:00:00,2
"127","Bath Beach",2014-07-01 07:00:00,2
"128","Bath Beach",2014-07-01 08:00:00,2
"129","Bath Beach",2014-07-01 09:00:00,2
"130","Bath Beach",2014-07-01 10:00:00,2
"131","Bath Beach",2014-07-01 11:00:00,2
"132","Bath Beach",2014-07-01 12:00:00,2
"133","Bath Beach",2014-07-01 13:00:00,2
"134","Bath Beach",2014-07-01 14:00:00,2
"135","Bath Beach",2014-07-01 15:00:00,2
"136","Bath Beach",2014-07-01 16:00:00,2
"137","Bath Beach",2014-07-01 17:00:00,2
"138","Bath Beach",2014-07-01 18:00:00,2
"139","Bath Beach",2014-07-01 19:00:00,2
"140","Bath Beach",2014-07-01 20:00:00,2
"141","Bath Beach",2014-07-01 21:00:00,2
"142","Bath Beach",2014-07-01 22:00:00,2
"143","Bath Beach",2014-07-01 23:00:00,2
"144","Bath Beach",2014-07-01 02:00:00,2
"145","Battery Park City-Lower Manhattan",2014-07-01 00:00:00,15
"146","Battery Park City-Lower Manhattan",2014-07-01 01:00:00,4
"147","Battery Park City-Lower Manhattan",2014-07-01 03:00:00,4
"148","Battery Park City-Lower Manhattan",2014-07-01 04:00:00,8
"149","Battery Park City-Lower Manhattan",2014-07-01 05:00:00,12
"150","Battery Park City-Lower Manhattan",2014-07-01 06:00:00,20
"151","Battery Park City-Lower Manhattan",2014-07-01 07:00:00,21
"152","Battery Park City-Lower Manhattan",2014-07-01 08:00:00,35
"153","Battery Park City-Lower Manhattan",2014-07-01 09:00:00,29
"154","Battery Park City-Lower Manhattan",2014-07-01 10:00:00,32
"155","Battery Park City-Lower Manhattan",2014-07-01 11:00:00,39
"156","Battery Park City-Lower Manhattan",2014-07-01 12:00:00,38
"157","Battery Park City-Lower Manhattan",2014-07-01 13:00:00,37
"158","Battery Park City-Lower Manhattan",2014-07-01 14:00:00,36
"159","Battery Park City-Lower Manhattan",2014-07-01 15:00:00,63
"160","Battery Park City-Lower Manhattan",2014-07-01 16:00:00,68
"161","Battery Park City-Lower Manhattan",2014-07-01 17:00:00,64
"162","Battery Park City-Lower Manhattan",2014-07-01 18:00:00,84
"163","Battery Park City-Lower Manhattan",2014-07-01 19:00:00,63
"164","Battery Park City-Lower Manhattan",2014-07-01 20:00:00,72
"165","Battery Park City-Lower Manhattan",2014-07-01 21:00:00,38
"166","Battery Park City-Lower Manhattan",2014-07-01 22:00:00,37
"167","Battery Park City-Lower Manhattan",2014-07-01 23:00:00,13
"168","Battery Park City-Lower Manhattan",2014-07-01 02:00:00,4
"169","Bay Ridge",2014-07-01 00:00:00,3
"170","Bay Ridge",2014-07-01 01:00:00,3
"171","Bay Ridge",2014-07-01 03:00:00,3
"172","Bay Ridge",2014-07-01 04:00:00,3
"173","Bay Ridge",2014-07-01 05:00:00,3
"174","Bay Ridge",2014-07-01 06:00:00,3
"175","Bay Ridge",2014-07-01 07:00:00,3
"176","Bay Ridge",2014-07-01 08:00:00,3
"177","Bay Ridge",2014-07-01 09:00:00,3
"178","Bay Ridge",2014-07-01 10:00:00,3
"179","Bay Ridge",2014-07-01 11:00:00,3
"180","Bay Ridge",2014-07-01 12:00:00,3
"181","Bay Ridge",2014-07-01 13:00:00,3
"182","Bay Ridge",2014-07-01 14:00:00,3
